,Tipo,Bairro,Quartos,Vagas,Suites,Area,Valor,Condominio,IPTU
276,Apartamento,Recreio dos Bandeirantes,4,3,2,181,3500.0,1080.0,423.0
277,Apartamento,Tijuca,2,1,1,70,1500.0,890.0,68.0
278,Casa de Condomínio,Barra da Tijuca,5,6,5,640,13800.0,980.0,1800.0
279,Apartamento,Vaz Lobo,2,0,0,70,1000.0,32.0,
280,Apartamento,Madureira,2,0,0,40,600.0,415.0,
281,Apartamento,Recreio dos Bandeirantes,2,0,0,75,1700.0,659.0,
282,Apartamento,Copacabana,2,1,1,81,2900.0,893.0,190.0
283,Casa,Bonsucesso,2,0,0,51,1000.0,,
284,Casa de Condomínio,Barra da Tijuca,5,3,5,1000,20000.0,1800.0,1800.0
285,Apartamento,Campo Grande,2,0,1,58,1000.0,,
286,Flat,Humaitá,1,1,0,55,2000.0,1232.0,176.0
287,Apartamento,Praça Seca,3,0,0,90,900.0,330.0,15.0
288,Apartamento,Vila Isabel,3,3,1,124,1700.0,1400.0,
289,Apartamento,Recreio dos Bandeirantes,5,3,4,430,6000.0,899.0,750.0
290,Apartamento,Ipanema,2,0,1,75,5200.0,476.0,120.0
291,Apartamento,São Conrado,5,2,3,400,13000.0,4165.0,689.0
292,Apartamento,Freguesia (Jacarepaguá),3,2,1,126,1500.0,1000.0,150.0
293,Apartamento,Laranjeiras,2,1,1,70,2300.0,620.0,190.0
294,Apartamento,Recreio dos Bandeirantes,3,2,1,94,1900.0,1300.0,198.0
295,Apartamento,Barra da Tijuca,4,3,4,192,5000.0,2200.0,562.0
296,Apartamento,Copacabana,1,0,0,43,1600.0,452.0,242.0
297,Apartamento,Barra da Tijuca,2,1,1,70,2200.0,780.0,
298,Apartamento,São Francisco Xavier,3,1,1,73,1200.0,520.0,
299,Apartamento,Copacabana,3,0,0,120,3000.0,1420.0,
300,Casa de Condomínio,Vargem Grande,5,4,5,300,5000.0,1500.0,250.0
301,Apartamento,Pechincha,2,1,0,64,800.0,248.0,14.0
302,Apartamento,Copacabana,1,0,0,45,2800.0,450.0,30.0
303,Apartamento,Laranjeiras,2,0,0,110,2500.0,968.0,167.0
304,Apartamento,Ipanema,4,3,3,433,37000.0,9800.0,
305,Apartamento,Flamengo,2,0,0,85,2700.0,800.0,1150.0
306,Apartamento,Leme,3,1,1,175,8000.0,1380.0,
307,Casa,Engenho Novo,2,0,0,70,1100.0,,
308,Apartamento,Jacarepaguá,2,1,0,68,1100.0,540.0,
309,Apartamento,Humaitá,2,1,0,64,2500.0,520.0,
310,Apartamento,Copacabana,1,0,1,37,2500.0,447.0,20.0
311,Apartamento,Copacabana,4,2,2,240,10000.0,2000.0,700.0
312,Casa de Condomínio,Barra da Tijuca,4,3,2,188,6000.0,1022.0,
313,Apartamento,Barra da Tijuca,3,2,2,137,12500.0,1850.0,271.0
314,Apartamento,Barra da Tijuca,14,2,2,212,5000.0,1200.0,650.0
315,Apartamento,Irajá,2,1,0,65,1100.0,255.0,
316,Apartamento,Barra da Tijuca,2,2,1,105,3000.0,1500.0,
317,Apartamento,Vila Isabel,2,1,0,70,1100.0,550.0,
318,Apartamento,São Conrado,4,3,4,600,23000.0,16864.0,3910.0
319,Apartamento,Gávea,3,1,1,108,5000.0,1769.0,226.0
320,Apartamento,Recreio dos Bandeirantes,2,1,2,85,2300.0,1350.0,125.0
321,Apartamento,Catete,1,0,0,45,1600.0,500.0,55.0
322,Quitinete,Copacabana,1,0,0,15,1100.0,600.0,
323,Apartamento,Barra da Tijuca,3,2,3,160,7000.0,1087.0,455.0
324,Casa de Vila,Quintino Bocaiúva,2,1,0,48,750.0,,
325,Apartamento,Lagoa,3,2,1,130,5000.0,1000.0,300.0
326,Apartamento,Freguesia (Jacarepaguá),3,2,1,100,2100.0,780.0,140.0
327,Apartamento,Freguesia (Jacarepaguá),3,2,3,180,5500.0,1200.0,318.0
328,Apartamento,Copacabana,3,0,0,80,2500.0,800.0,157.0
329,Casa de Condomínio,Barra da Tijuca,3,0,2,367,6000.0,510.0,423.0
330,Apartamento,Recreio dos Bandeirantes,3,1,1,85,1900.0,450.0,112.0
331,Casa,Jardim Botânico,2,4,1,107,9500.0,,1091.0
332,Apartamento,Barra da Tijuca,5,4,3,171,9000.0,2000.0,3500.0
333,Apartamento,Centro,1,0,0,42,2200.0,619.0,202.0
334,Apartamento,Méier,2,1,0,62,1000.0,600.0,38.0
335,Quitinete,Leblon,1,0,0,25,1950.0,360.0,58.0
336,Apartamento,Leblon,4,3,4,260,13500.0,3100.0,
337,Casa,Recreio dos Bandeirantes,4,4,2,367,12000.0,,653.0
338,Apartamento,Grajaú,2,0,0,65,1400.0,415.0,21.0
339,Apartamento,Lagoa,4,3,1,180,11000.0,2530.0,812.0
340,Apartamento,Copacabana,1,0,0,43,1800.0,639.0,76.0
341,Apartamento,Lagoa,2,1,1,80,2200.0,2600.0,420.0
342,Apartamento,Flamengo,2,1,0,57,2800.0,832.0,98.0
343,Apartamento,Campo Grande,3,1,1,98,1800.0,950.0,
344,Apartamento,Jardim Botânico,3,1,2,170,6000.0,860.0,540.0
345,Casa Comercial,Botafogo,3,0,0,280,13000.0,450.0,1387.0
346,Apartamento,Leblon,4,2,2,207,15500.0,6000.0,934.0
347,Apartamento,Barra da Tijuca,4,4,4,518,38000.0,5004.0,1747.0
348,Apartamento,Ipanema,1,0,1,50,2400.0,897.0,26.0
349,Quitinete,Copacabana,1,0,0,35,1700.0,400.0,55.0
350,Apartamento,Recreio dos Bandeirantes,3,2,1,150,2500.0,1012.0,
351,Apartamento,Copacabana,2,0,0,65,2700.0,710.0,130.0
352,Apartamento,Recreio dos Bandeirantes,4,3,2,300,4500.0,1500.0,580.0
353,Apartamento,Recreio dos Bandeirantes,2,2,1,115,1900.0,661.0,
354,Casa de Vila,Jacarepaguá,3,1,0,100,2000.0,100.0,
355,Apartamento,Recreio dos Bandeirantes,3,3,1,110,1500.0,873.0,
356,Casa,Botafogo,12,5,0,500,18000.0,,1800.0
357,Apartamento,Barra da Tijuca,4,3,4,304,13000.0,3800.0,1350.0
358,Casa de Condomínio,Barra da Tijuca,4,2,4,280,8500.0,750.0,620.0
359,Apartamento,Tijuca,3,1,0,88,2300.0,790.0,885.0
360,Apartamento,Ipanema,3,1,1,145,7200.0,2900.0,500.0
361,Casa,Catete,10,0,10,300,15000.0,,220.0
362,Apartamento,Urca,1,0,0,53,2800.0,770.0,
363,Apartamento,Ipanema,3,1,1,116,5000.0,1600.0,316.0
364,Apartamento,Tijuca,3,1,0,116,2000.0,790.0,194.0
365,Apartamento,Vila Isabel,3,0,0,82,1200.0,664.0,86.0
366,Quitinete,Glória,1,0,1,26,850.0,321.0,29.0
367,Apartamento,Barra da Tijuca,3,2,1,130,4800.0,1700.0,433.0
368,Apartamento,Freguesia (Jacarepaguá),3,1,1,90,1700.0,595.0,
369,Apartamento,Flamengo,2,1,0,68,2000.0,536.0,148.0
370,Apartamento,Copacabana,1,0,0,60,2800.0,620.0,128.0
371,Apartamento,Taquara,2,1,0,53,1100.0,450.0,150.0
372,Apartamento,Penha,2,0,0,64,950.0,180.0,
373,Apartamento,Jardim Botânico,3,1,1,130,6400.0,1500.0,
374,Apartamento,Leblon,2,1,0,90,3500.0,1300.0,200.0
375,Apartamento,Leblon,4,2,4,200,8500.0,2710.0,945.0
376,Apartamento,Tijuca,1,1,1,84,2000.0,718.0,120.0
377,Quitinete,Gardênia Azul,1,0,0,20,485.0,,
378,Apartamento,Flamengo,1,0,0,30,1490.0,315.0,55.0
379,Casa,São Conrado,4,0,4,1200,25000.0,,
380,Apartamento,Maracanã,2,0,0,79,1700.0,600.0,
381,Apartamento,Copacabana,1,1,0,150,3000.0,1200.0,390.0
